le tissu est cohérent yey
# x1, y1, z1, x2, y2, z2, x3, y3, z3
0,-3,0,-2,0,0,0.5,0,0
-0.00953176,-3.07167,0,-2,0,0,0.5,0,0
-0.0278427,-3.20621,0,-2,0,0,0.5,0,0
-0.0543184,-3.39359,0,-2,0,0,0.5,0,0
-0.0884037,-3.62294,0,-2,0,0,0.5,0,0
-0.129523,-3.88286,0,-2,0,0,0.5,0,0
-0.177015,-4.16187,0,-2,0,0,0.5,0,0
-0.230086,-4.44878,0,-2,0,0,0.5,0,0
-0.287797,-4.73302,0,-2,0,0,0.5,0,0
-0.349069,-5.00499,0,-2,0,0,0.5,0,0
-0.412713,-5.25632,0,-2,0,0,0.5,0,0
-0.477473,-5.48006,0,-2,0,0,0.5,0,0
-0.54207,-5.67083,0,-2,0,0,0.5,0,0
-0.605253,-5.82488,0,-2,0,0,0.5,0,0
-0.665844,-5.94007,0,-2,0,0,0.5,0,0
-0.72278,-6.01583,0,-2,0,0,0.5,0,0
-0.775144,-6.05306,0,-2,0,0,0.5,0,0
-0.822188,-6.05393,0,-2,0,0,0.5,0,0
-0.863349,-6.02169,0,-2,0,0,0.5,0,0
-0.898252,-5.96052,0,-2,0,0,0.5,0,0
-0.92671,-5.87521,0,-2,0,0,0.5,0,0
-0.948713,-5.771,0,-2,0,0,0.5,0,0
-0.96441,-5.65331,0,-2,0,0,0.5,0,0
-0.974092,-5.52756,0,-2,0,0,0.5,0,0
-0.978163,-5.39895,0,-2,0,0,0.5,0,0
-0.977117,-5.27231,0,-2,0,0,0.5,0,0
-0.971513,-5.15195,0,-2,0,0,0.5,0,0
-0.961948,-5.04158,0,-2,0,0,0.5,0,0
-0.949038,-4.94418,0,-2,0,0,0.5,0,0
-0.933397,-4.86203,0,-2,0,0,0.5,0,0
-0.915623,-4.79665,0,-2,0,0,0.5,0,0
-0.896286,-4.74881,0,-2,0,0,0.5,0,0
-0.875918,-4.71863,0,-2,0,0,0.5,0,0
-0.855015,-4.70555,0,-2,0,0,0.5,0,0
-0.834024,-4.7085,0,-2,0,0,0.5,0,0
-0.81335,-4.72592,0,-2,0,0,0.5,0,0
-0.793354,-4.75589,0,-2,0,0,0.5,0,0
-0.774348,-4.79621,0,-2,0,0,0.5,0,0
-0.756603,-4.84452,0,-2,0,0,0.5,0,0
-0.740344,-4.89841,0,-2,0,0,0.5,0,0
-0.725751,-4.95545,0,-2,0,0,0.5,0,0
-0.71296,-5.01337,0,-2,0,0,0.5,0,0
-0.702066,-5.07001,0,-2,0,0,0.5,0,0
-0.693119,-5.12351,0,-2,0,0,0.5,0,0
-0.686128,-5.17225,0,-2,0,0,0.5,0,0
-0.681064,-5.21494,0,-2,0,0,0.5,0,0
-0.677862,-5.25061,0,-2,0,0,0.5,0,0
-0.676425,-5.27864,0,-2,0,0,0.5,0,0
-0.676626,-5.29872,0,-2,0,0,0.5,0,0
-0.678317,-5.31087,0,-2,0,0,0.5,0,0
-0.681329,-5.31538,0,-2,0,0,0.5,0,0
-0.685481,-5.31278,0,-2,0,0,0.5,0,0
-0.690583,-5.30382,0,-2,0,0,0.5,0,0
-0.696443,-5.28938,0,-2,0,0,0.5,0,0
-0.70287,-5.27048,0,-2,0,0,0.5,0,0
-0.709677,-5.2482,0,-2,0,0,0.5,0,0
-0.716689,-5.22364,0,-2,0,0,0.5,0,0
-0.723741,-5.19786,0,-2,0,0,0.5,0,0
